file_id,class_id,class_name,noise_type,snr_db,clip_index,impulse_timestamps,n_impulses,noisy_path,clean_path
cls0_field_gen_50hz_snr-10dB_clip00_0000,0,stationary,field_gen_50hz,-10,0,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr-10dB_clip00_0000.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr-10dB_clip00_0000.wav
cls0_field_gen_50hz_snr-10dB_clip01_0001,0,stationary,field_gen_50hz,-10,1,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr-10dB_clip01_0001.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr-10dB_clip01_0001.wav
cls0_field_gen_50hz_snr-10dB_clip02_0002,0,stationary,field_gen_50hz,-10,2,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr-10dB_clip02_0002.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr-10dB_clip02_0002.wav
cls0_field_gen_50hz_snr-5dB_clip00_0003,0,stationary,field_gen_50hz,-5,0,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr-5dB_clip00_0003.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr-5dB_clip00_0003.wav
cls0_field_gen_50hz_snr-5dB_clip01_0004,0,stationary,field_gen_50hz,-5,1,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr-5dB_clip01_0004.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr-5dB_clip01_0004.wav
cls0_field_gen_50hz_snr-5dB_clip02_0005,0,stationary,field_gen_50hz,-5,2,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr-5dB_clip02_0005.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr-5dB_clip02_0005.wav
cls0_field_gen_50hz_snr+0dB_clip00_0006,0,stationary,field_gen_50hz,0,0,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+0dB_clip00_0006.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+0dB_clip00_0006.wav
cls0_field_gen_50hz_snr+0dB_clip01_0007,0,stationary,field_gen_50hz,0,1,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+0dB_clip01_0007.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+0dB_clip01_0007.wav
cls0_field_gen_50hz_snr+0dB_clip02_0008,0,stationary,field_gen_50hz,0,2,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+0dB_clip02_0008.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+0dB_clip02_0008.wav
cls0_field_gen_50hz_snr+5dB_clip00_0009,0,stationary,field_gen_50hz,5,0,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+5dB_clip00_0009.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+5dB_clip00_0009.wav
cls0_field_gen_50hz_snr+5dB_clip01_0010,0,stationary,field_gen_50hz,5,1,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+5dB_clip01_0010.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+5dB_clip01_0010.wav
cls0_field_gen_50hz_snr+5dB_clip02_0011,0,stationary,field_gen_50hz,5,2,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+5dB_clip02_0011.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+5dB_clip02_0011.wav
cls0_field_gen_50hz_snr+10dB_clip00_0012,0,stationary,field_gen_50hz,10,0,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+10dB_clip00_0012.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+10dB_clip00_0012.wav
cls0_field_gen_50hz_snr+10dB_clip01_0013,0,stationary,field_gen_50hz,10,1,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+10dB_clip01_0013.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+10dB_clip01_0013.wav
cls0_field_gen_50hz_snr+10dB_clip02_0014,0,stationary,field_gen_50hz,10,2,[],0,data/defense_dataset\noisy\cls0_field_gen_50hz_snr+10dB_clip02_0014.wav,data/defense_dataset\clean\cls0_field_gen_50hz_snr+10dB_clip02_0014.wav
cls0_field_gen_60hz_snr-10dB_clip00_0015,0,stationary,field_gen_60hz,-10,0,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr-10dB_clip00_0015.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr-10dB_clip00_0015.wav
cls0_field_gen_60hz_snr-10dB_clip01_0016,0,stationary,field_gen_60hz,-10,1,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr-10dB_clip01_0016.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr-10dB_clip01_0016.wav
cls0_field_gen_60hz_snr-10dB_clip02_0017,0,stationary,field_gen_60hz,-10,2,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr-10dB_clip02_0017.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr-10dB_clip02_0017.wav
cls0_field_gen_60hz_snr-5dB_clip00_0018,0,stationary,field_gen_60hz,-5,0,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr-5dB_clip00_0018.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr-5dB_clip00_0018.wav
cls0_field_gen_60hz_snr-5dB_clip01_0019,0,stationary,field_gen_60hz,-5,1,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr-5dB_clip01_0019.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr-5dB_clip01_0019.wav
cls0_field_gen_60hz_snr-5dB_clip02_0020,0,stationary,field_gen_60hz,-5,2,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr-5dB_clip02_0020.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr-5dB_clip02_0020.wav
cls0_field_gen_60hz_snr+0dB_clip00_0021,0,stationary,field_gen_60hz,0,0,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+0dB_clip00_0021.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+0dB_clip00_0021.wav
cls0_field_gen_60hz_snr+0dB_clip01_0022,0,stationary,field_gen_60hz,0,1,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+0dB_clip01_0022.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+0dB_clip01_0022.wav
cls0_field_gen_60hz_snr+0dB_clip02_0023,0,stationary,field_gen_60hz,0,2,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+0dB_clip02_0023.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+0dB_clip02_0023.wav
cls0_field_gen_60hz_snr+5dB_clip00_0024,0,stationary,field_gen_60hz,5,0,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+5dB_clip00_0024.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+5dB_clip00_0024.wav
cls0_field_gen_60hz_snr+5dB_clip01_0025,0,stationary,field_gen_60hz,5,1,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+5dB_clip01_0025.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+5dB_clip01_0025.wav
cls0_field_gen_60hz_snr+5dB_clip02_0026,0,stationary,field_gen_60hz,5,2,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+5dB_clip02_0026.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+5dB_clip02_0026.wav
cls0_field_gen_60hz_snr+10dB_clip00_0027,0,stationary,field_gen_60hz,10,0,[],0,data/defense_dataset\noisy\cls0_field_gen_60hz_snr+10dB_clip00_0027.wav,data/defense_dataset\clean\cls0_field_gen_60hz_snr+10dB_clip00_0027.wav
